MAIN_ID,SP_TYPE,DIST(pc),Mdot,Ref,Inclination,Ref,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,A_K,2MASS_FLAG,W1,A_W1,W2,A_W2,IRAC_8,F9,F9_FLAG,IRAS_12,W3,A_W3,IRS_16,F18,F18_FLAG,IRS_22,W4,A_W4,WISE_FLAG,MIPS_24,IRAS_25,F25_FLAG,REF,IRAS_60,F60_FLAG,REF,F65,F65_FLAG,REF,70,REF,F90,F90_FLAG,REF,IRAS_100,F100_FLAG,Ref,F140,F140_FLAG,REF,F160,F160_FLAG,REF,350,REF,450,REF,600,REF,750,REF,800,REF,850,REF,870,REF,890,REF,1100,REF,1200,REF,1300,REF,1400,REF,2000,REF,2600,REF,2700,REF,3000,REF,3100,REF,3200,REF,3300,REF,3400,REF,3500,REF,6800,REF,7000,REF,13000,REF,36000,REF,60000,REF,MAIN_ID,MEEUS_GRP,Ref,Refs for Why Stars are Added,RA,DEC,Teff,V_correc,V_abs,BC_V,M_Bol,L(L_SUN)
HBC 1,F4?,850,,,,,17.34,0.57948169,17.27,0.492507042,16.76,0.372,16.57,0.278738028,,0.178140845,10.907,0.104788732,8.902,0.065388169,7.263,0.040029296,000,5.507,0.019630423,4.306,0.012131523,null|,3.402,3,null|,1.985,0.010140406,null|,7.517,3,null|,-0.225,0.00661766,hh0h ,null|,1.15E+01,3,,1.68E+01,3,,13.54,3,,,,15.76,3,,4.25E+01,2,,16.68,3,,16.209999,3,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,HBC 1,,,,00 07 02,+65 38 38,6640,16.388,6.740905371,-0.04,6.700905371,0.164300109
HBC 324,A7,,,,,,11.33,0.676061972,11.1,0.574591549,10.77,0.434,,0.325194366,,0.207830986,12.92,0.122253521,12.014,0.076286197,11.004,0.046700845,000,9.067,0.02290216,7.704,0.014153443,null|,0.5359,3,null|,4.16,0.011830473,null|,1.551,3,null|,1.438,0.007720603,0hhh ,null|,null|,null|,,null|,null|,,1.646,1,,,,3.497,3,,null|,null|,,3.222,1,,4.065,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBC 324,,,,00 07 30,+65 39 52,7800,10.336,#NUM!,0,#NUM!,#NUM!
lkh 198,B9e,600,,,,,15.54,4.925594366,15.14,4.186309859,14.18,3.162,12.94,2.369273239,11.79,1.514197183,9.988,0.890704225,7.889,0.557994366,6.29,0.340249014,000,4.677,0.166858592,3.304,0.103117942,null|,9.475,3,null|,0.627,0.086193448,null|,29.860001,3,null|,-2.249,0.05625011,HHHH ,null|,101,3,,140,3,,null|,null|,,,,null|,null|,,207,3,,null|,null|,,null|,null|,,12.6,,6.5,,,,0.708,,0.643,,0.22,,,,,,0.226,,,,0.4,Hillenbrand 1992 (extended),,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,lkh 198,,,,00 11 25,+58 49 28,10700,11.018,2.127243748,-0.42,1.707243748,16.33437421
v376 cas,A3/F2e,630,,,,,17.19,4.635853521,16.6,3.940056338,15.55,2.976,14.28,2.229904225,,1.425126761,10.994,0.838309859,8.37,0.523105352,6.305,0.320234366,000,8.518,0.15704338,6.355,0.09705218,null|,17.889999,3,null|,3.078,0.081123245,null|,33.799999,3,null|,-0.327,0.05294128,dddd ,null|,92,3,,138,3,,null|,null|,,,,null|,null|,,198,3,,null|,null|,,null|,null|,,5.8,,1.3,,,,0.28,,0.23,,0.14,,,,,,0.08,,,,0.23,Hillenbrand 1992 (extended),,,,,,,0.0023,,,,,,,,,,,,,,,,,,,,,,,,v376 cas,I,Acke et al. 2008,,00 11 26,+58 50 03,8550,12.574,3.577297253,-0.06,3.517297253,3.08376375
vx cas,A0Vep,760,3.63078E-07,"Mendigutia, Calvet, et al. 2011",,,11.83,5.263626089,11.59,4.47360626,10.5,3.379000473,11.19,2.531870777,10.94,1.618112903,10.145,0.951831119,9.171,0.593942618,8.214,0.363599488,c00 ,7.115,0.178309696,6.564,0.110194678,null|,0.7554,3,null|,4.157,0.092108697,null|,1.327,3,null|,1.832,0.06011042,0000,null|,2.64E+00,3,,1.41E+00,3,,0.8495,1,,,,0.7453,3,,1.52E+01,1,,0.7058,1,,0.1176,1,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vx cas,II,Acke et al. 2008,,00 31 30,+61 58 50,9700,7.120999527,-2.283068434,-0.24,-2.523068434,803.9469164
v594 cas,B8eq,650,,,70,Cauley 2014,10.87,3.090569014,11.13,2.626704225,10.58,1.984,9.82,1.486602817,9.2,0.950084507,8.137,0.558873239,6.917,0.348736901,5.896,0.213489577,000,4.757,0.104695587,3.865,0.064701454,null|,5.028,3,null|,1.777,0.054082163,null|,5.984,3,null|,0.133,0.035294186,hh00 ,null|,10.2,3,,5.3,3,,3.97,3,,,,3.9,3,,1.47E+01,1,,4.184,3,,1.434,1,,,,,,,,,,,,,,,,,,0.033,,,,0.06,Hillenbrand 1992,,,,,,,,,0.0017,,,,,,,,,,,,,,,,,,,,,,v594 cas,,,,00 43 18,+61 54 40,12500,8.596,-0.468566783,-0.81,-1.278566783,255.5210676
lkh 201,B2e,,,,,,15.01,6.905490141,14.85,5.869042254,13.64,4.433,12.39,3.321628169,,2.12284507,10.716,1.248732394,10.285,0.779209014,9.849,0.477015775,000,9.317,0.233929202,8.934,0.14456731,null|,      null|, null,null|,8.083,0.120839834,null|,      null|,null,null|,7.352,0.078860448,0000,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 201,,,,00 43 25,+61 38 23,20600,9.207,#NUM!,-2.06,#NUM!,#NUM!
RNO 6,B3,1600,,,,,,3.670049231,15.09,3.119210015,14.52,2.355999054,13.74,1.765340136,,1.128224899,12.272,0.663661705,11.789,0.414124904,11.419,0.253518771,000,9.94,0.124325959,9.25,0.076832945,7.16E-02,      null|, null,5.20E-02,4.9,0.064222543,1.93E-01,      null|,null,5.32E-01,2.169,0.041911829,hhdd ,5.97E-01,6.51E-01,3,,3.32E+01,3,,null|,null|,,,,null|,null|,,9.64E+01,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNO 6,,,,02 16 30, +55 22 57,17000,12.16400095,1.143401033,-1.58,-0.436598967,117.6629105
BD+30 549,B8,297,,,,,10.81,2.752538028,10.95,2.339408451,10.47,1.767,10.587,1.324005634,,0.846169014,14.832,0.497746479,11.431,0.310593803,11.136,0.190139155,c00,7.945,0.093244507,7.742,0.057624732,5.14E-03,null|,null|,1.33E-02,4.369,0.048166927,2.74E-01,null|,null|,6.54E-01,2.361,0.031433885,hddd,7.43E-01,8.59E-01,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD+30 549,,,van den Ancker 1998,03 29 19.77605,+31 24 57.0474,12500,8.703,1.339217753,-0.81,0.529217753,48.34069596
V1185 Tau,A1,105,,,,,,1.641864789,11.04,1.39543662,10.67,1.054,,0.789757746,,0.504732394,9.66,0.296901408,9.117,0.185266479,8.509,0.113416338,000,7.61,0.055619531,6.828,0.034372647,null|,1.019,3,null|,3.854,0.028731149,null|,1.27,3,null|,1.941,0.018750037,0000,null|,1.45E+00,3,,2.00E+00,3,,1.742,1,,,,1.604,3,,2.10E+00,3,,1.25,1,,null,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V1185 Tau,,,Cauley,03 39 00.561,+29 41 45.69,9200,9.616,4.510053505,-0.15,4.360053505,1.418987593
