# CVSO    ID_SIMBAD                                                    typ   RA_J2000      DEC_J2000     RA           DEC          LR_INST   SpN    SpT    WHa      WLiI    W8183    W8195    EW_NaI   HR_INST   FILT    Ha_Hi     WHa_Hi    WHa10    LiI_Hi   WLiI_Hi   Vrad     Vr_err   R        V        errV     Nv    Rc       errRc    Nr   Ic       errIc    Ni    AmpV     AmpR     AmpI     Vstd     Rstd     Istd     Vprob      Rprob      Iprob      Lvr      Lvi      Lri      SDSS_u     SDSS_u_err   SDSS_g     SDSS_g_err    SDSS_r     SDSS_r_err    SDSS_i     SDSS_i_err    SDSS_z     SDSS_z_err    Sep_SDSS               J        errJ    H        errH    Ks       errKs   ph_qual   cc_flg   Sep_2MASS   ID_VISTA   ra_vista        dec_vista          magZ      emagZ        magY      emagY        magJ      emagJ        magH      emagH        magK      emagK        Sep_VISTA              ra_irac      dec_irac      RAJ2000_mips   DECJ2000_mips   m36       err36        m45       err45        m58       err58        m8        err8         mag24    m24_err   flux24    errflux24   Sep_IRAC              Sep_MIPS               ID_WISE                ra_wise             dec_wise              sigra_wise   sigdec_wise   pmra_cone   sigpmra   pmdec   sigpmdec   mjdmean        w1mpro   w1sigmpro   w1snr   w2mpro   w2sigmpro   w2snr   w3mpro   w3sigmpro   w3snr   w4mpro   w4sigmpro   w4snr   ph_qual_cone   ext_flg   var_flg   Sep_WISE               UCAC4        RAJ2000      e_RAJ2000   DEJ2000      e_DEJ2000   pmRA    e_pmRA   pmDE    e_pmDE   Bmag     e_Bmag   Vmag     e_Vmag   gmag     e_gmag   rmag     e_rmag   imag     e_imag   Sep_UCAC4              ID_PACS      X70        Y70        FLUX70    errf70   mag70    merr70   X160       Y160       FLUX160   errf160   mag160   merr160   Sep_PACS                Binarity   Bin_Obs    Bin_ObsDate                        Bin-Sep   T_CB   Loc      d    
  1       2MASS_J05105877-0008030                                      TT*   05:10:58.78   -00:08:03.1   77.7449034   -0.1341854   HYD       71.0   M3     -37.8    0.4     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.066   0.005    74    15.934   0.019    25   14.228   0.02     43    0.322    0.128    0.174    0.055    0.034    0.027    2.37E-4    0.00169    0.915      1.514    1.316    0.833    19.98125   0.03194428   17.97507   0.01742408    16.57562   0.01713143    15.10591   0.01539779    14.31339   0.02400658    0.09248498116852637    12.82    0.024   12.142   0.023   11.891   0.023   AAA       000      0.098808    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0771p000_ac51-025128   77.7449229          -0.1341896            0.0403       0.037         49          49        129     48         55341.420724   11.662   0.023       47.7    11.314   0.023       48.2    9.77     0.047       23.1    8.315    0.361       3.0     AAAC           0         220n      0.07180966070106394    450-009028   77.7448706   182         -0.1341214   182         4.5     18.2     5.6     18.2     ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.2588956739079821     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      1a       330  
  2       2MASS_J05152615-0038067                                      TT*   05:15:26.25   -00:38:06.8   78.8593833   -0.6352307   FAST      69.0   M1     -3.8     0.4     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.899   0.017    47    15.032   0.013    11   13.859   0.042    12    0.303    0.063    0.0      0.047    0.019    0.0      5.02E-9    0.239      -999.0     0.836    1.188    0.121    19.2661    0.02929039   16.7775    0.01299943    15.35335   0.01215223    14.49347   0.01564744    13.95767   0.01986925    1.473914167743919      12.552   0.042   11.879   0.037   11.655   0.034   AAA       000      1.48707     ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0786p000_ac51-002529   78.8593381          -0.6351962            0.0383       0.0355        -262        49        223     49         55350.937274   11.376   0.022       49.7    11.289   0.02        53.9    11.072   0.151       7.2     8.329    ""          1.7     AABU           1         111n      0.20469534457412245    447-009023   78.8589789   42          -0.6352164   41          -1.0    5.1      1.7     5.3      17.079   0.14     15.717   0.09     16.366   0.15     15.027   0.09     14.032   0.04     1.456660492464071      ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  2-1     2MASS_J05152669-0038070                                      IR    05:15:26.69   -00:38:07.0   78.861208    -0.635278    FAST      69.0   M1     -3.329   0.409   -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   -999.0   -999.0   0     -999.0   -999.0   0    -999.0   -999.0   0     -999.0   -999.0   -999.0   -999.0   -999.0   -999.0   -999.0     -999.0     -999.0     -999.0   -999.0   -999.0   20.40105   0.05261068   17.98341   0.04720043    16.55123   0.04515       15.11998   0.03092499    14.32815   0.03047619    0.07361459116907178    12.81    0.024   12.184   0.026   11.929   0.024   AAA       000      0.029686    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     ""                     ""                  ""                    ""           ""            ""          ""        ""      ""         ""             ""       ""          ""      ""       ""          ""      ""       ""          ""      ""       ""          ""      ""             ""        ""        ""                     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  3       2MASS_J05154362+0157310                                      TT*   05:15:43.63   +01:57:31.3   78.9317977   1.9586952    FAST      71.0   M3     -5.9     0.3     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.326   0.005    120   15.33    0.016    47   13.886   0.015    53    0.312    0.19     0.12     0.036    0.033    0.021    0.575      5.8E-9     0.0977     0.911    0.209    1.227    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.69    0.024   12.015   0.024   11.758   0.019   AAA       000      0.269536    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0786p015_ac51-045419   78.9317715          1.9586213             0.0416       0.0388        14          49        53      52         55350.240245   11.694   0.023       46.8    11.581   0.022       48.4    11.431   0.173       6.3     8.727    ""          0.7     AABU           0         00nn      0.2822466151001954     460-009368   78.9317739   104         1.9586059    103         0.0     4.4      -1.2    4.4      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.3326888596378928     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  4       2MASS_J05181171-0001356                                      TT*   05:18:11.71   -00:01:35.7   79.5487822   -0.026585    FAST      68.0   M0     -3.7     0.2     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.728   0.015    126   13.855   0.018    46   -999.0   -999.0   0     0.24     0.22     0.0      0.051    0.046    0.0      0.0        2.53E-21   -999.0     3.001    3.024    2.983    18.02552   0.02504005   15.60174   0.01187479    14.2598    0.0143498     15.58325   0.01467202    13.08538   0.01428182    0.025177173895809254   11.724   0.023   11.052   0.022   10.851   0.019   AAA       000      0.106077    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p000_ac51-033423   79.5487869          -0.0265706            0.0383       0.0345        -4          42        55      43         55347.001571   10.824   0.022       49.0    10.766   0.02        54.8    10.588   0.089       12.2    9.081    ""          -0.5    AAAU           0         110n      0.05453138488011464    450-009679   79.5487712   27          -0.0265692   31          -1.1    5.4      2.2     5.6      16.212   0.11     14.799   0.06     15.499   0.06     14.213   0.04     13.446   0.04     0.06930724395118085    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  5       2MASS_J05192841+0116210                                      TT*   05:19:28.41   +01:16:21.3   79.8683767   1.2725695    FAST      70.0   M2     -5.1     0.7     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.922   0.005    53    14.934   0.015    57   13.436   0.037    21    0.174    0.137    0.0      0.045    0.036    0.0      2.51E-14   3.73E-21   -999.0     2.585    2.307    2.526    19.32641   0.03068496   16.80347   0.01481483    15.36461   0.01125719    14.42561   0.01326999    13.86601   0.01859874    0.12463494873581       12.499   0.024   11.82    0.022   11.597   0.023   AAA       000      0.167419    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p015_ac51-014837   79.8683835          1.2725327             0.0413       0.0385        0           50        0       54         55349.143208   11.489   0.023       48.0    11.399   0.023       48.2    11.486   0.19        5.7     9.057    ""          -0.9    AABU           0         00nn      0.13472165837703687    457-009661   79.8683633   51          1.2725298    47          1.2     5.2      0.8     5.3      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.15083791382395312    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  6       2MASS_J05201885-0149010                                      TT*   05:20:18.85   -01:49:01.1   80.0785503   -1.816974    FAST      65.0   K5     -0.3     0.7     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.072   0.015    48    -999.0   -999.0   0    -999.0   -999.0   0     0.271    0.0      0.0      0.069    0.0      0.0      0.0        9.0        -999.0     5.577    5.577    0.0      17.05503   0.01527624   14.6703    0.01314604    13.58792   6.764577E-4   13.12686   6.696756E-4   12.85634   0.01465757    0.12611009143255741    11.659   0.023   11.059   0.022   10.855   0.019   AAA       000      0.073959    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-015812   80.0785527          -1.8169552            0.038        0.0347        -17         43        22      43         55344.444252   10.808   0.022       48.3    10.807   0.02        54.7    10.843   0.099       11.0    8.712    ""          0.6     AAAU           0         000n      0.0682287106265318     441-009610   80.0785559   63          -1.8169656   20          -4.3    7.1      -0.5    3.7      15.303   0.06     14.114   0.02     14.724   0.06     13.668   0.01     13.122   0.02     0.03633833528294283    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  7       2MASS_J05202587-0001490                                      TT*   05:20:25.87   -00:01:49.0   80.1077891   -0.0302899   FAST      66.0   K6     -3.7     0.7     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   13.974   0.009    133   -999.0   -999.0   0    12.106   0.05     5     0.269    0.0      0.0      0.06     0.0      0.0      0.0        9.0        -999.0     4.283    4.283    0.0      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     11.142   0.026   10.499   0.022   10.344   0.023   AAA       000      0.055634    3306519    80.1077947592   -0.030293690192    12.681    5.96237E-4   12.4668   6.32534E-4   11.1078   7.52695E-4   11.3796   0.00117849   10.2876   9.86465E-4   0.024520226321953026   ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p000_ac51-028169   80.1077638          -0.030316             0.0378       0.0349        -3          39        110     38         55347.557424   10.196   0.023       47.1    10.131   0.02        54.4    9.995    0.055       19.7    8.748    ""          0.7     AAAU           0         110n      0.13085887696963855    450-009848   80.1077718   20          -0.0302975   20          -0.2    4.2      5.3     4.5      15.076   0.06     13.879   0.02     14.439   0.04     13.393   0.02     12.78    0.04     0.06802475226058989    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  8       2MASS_J05203382-0155237                                      TT*   05:20:33.82   -01:55:23.7   80.1408998   -1.9232537   FAST      68.0   M0     -4.65    0.598   -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.849   0.011    71    14.887   0.016    29   13.686   0.018    61    0.979    0.733    0.221    0.101    0.12     0.029    1.88E-21   2.94E-28   0.801      1.131    0.28     0.77     19.19381   0.03251943   16.5684    0.01544746    15.16892   0.01935932    14.34824   0.0135691     13.76789   0.01821115    0.09470542007828354    12.353   0.023   11.643   0.022   11.42    0.019   AAA       000      0.094383    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-015815   80.1409223          -1.923229             0.0388       0.0355        0           47        0       50         55350.688634   11.396   0.023       47.5    11.278   0.02        53.6    11.012   0.118       9.2     8.891    ""          -0.2    AABU           0         11nn      0.12025130620437734    441-009630   80.1409318   50          -1.9232375   49          4.1     3.4      0.3     3.7      17.501   0.12     15.911   0.01     16.836   0.09     15.455   0.13     14.457   0.01     0.12906322084434885    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  9       2MASS_J05212330-0016361                                      TT*   05:21:23.31   -00:16:36.1   80.3471297   -0.2766857   FAST      55.0   G5     -0.4     0.5     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   13.576   0.015    84    -999.0   -999.0   0    12.243   0.025    1     0.079    0.0      0.0      0.014    0.0      0.0      1.0        9.0        -999.0     -0.495   -0.495   0.0      16.95755   0.01462101   14.26942   0.01658247    13.21098   5.18719E-4    12.77711   5.627411E-4   12.61431   0.001078638   0.21927372796181205    11.28    0.024   10.604   0.022   10.438   0.019   AAA       000      0.087634    3306568    80.3471175804   -0.276687402328    12.1117   3.71556E-4   11.7132   3.33591E-4   11.3212   8.87572E-4   10.683    6.60427E-4   10.5738   0.00122226   0.04405835248662605    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p000_ac51-018492   80.347116           -0.2767061            0.0382       0.0358        -25         41        -49     41         55355.511763   10.371   0.023       46.8    10.449   0.02        54.8    10.162   0.068       15.9    8.579    ""          0.7     AAAU           0         000n      0.08846377377577348    449-009734   80.3471271   17          -0.2767056   17          -3.1    3.6      3.5     3.9      14.927   0.04     13.648   0.01     14.238   0.01     13.221   0.02     12.75    0.05     0.07224885574520908    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
