 ab aur
 ak sco
 as 310
 V2018 Cyg
 V1977 Cyg
 bd +9 880
 bd +41 3731
 bd +65 1637
 bf ori
 bh cep
 bn ori
 bo cep
 cq tau
 13h 40m 21.39s +57d 12m 27.4s
 cu cha
 4h15m34.6s +28d12m01s
 eu ser
 hd 53367
 hd 150193
 hd 163296
 21h 01m 36.92s +68d 09m 47.8s
 hd 250550
 hd 259431
 hk ori
 22h 53m 15.60s +62d 08m 45.0s
 kk oph
 lkh 112
 lkh 115
 lkh 118
 lkh 119
 lkh 131
 lkh 132
 lkh 134
 lkh 135
 lkh 147
 lkh 167
 lkh 168
 lkh 169
 lkh 176
 lkh 183
 lkh 192
 lkh 193
 lkh 194
 lkh 198
 lkh 201
 lkh 208
 lkh 215
 lkh 218
 lkh 220
 lkh 233
 lkh 234
 lkh 257
 lkh 259
 lkh 324
 lkh 339
 lkh 341
 lkh 350
 macc h12
 mwc 137
 mwc 297
 mwc 342
 mwc 930
 mwc 1080
 mx ori
 nv ori
 parenago 2599
 parenago 2649
 r mon
 r cra
 rr tau
 sv cep
 t cra
 t ori
 t cha
 ty cra
 ux ori
 hd 38238
 v376 cas
 v380 ori
 v451 ori
 v517 cyg
 v586 ori
 v590 mon
 v594 cas
 v645 cyg
 v1318 cyg
 v1578 cyg
 v1685 cyg
 v1686 cyg
 vv ser
 vx cas
 vy mon
 vy mong2
 ww vul
 xy per
 z cma 
 HBC 324    
 V633 Cas   
 RNO 6      
 HD 278937
 HD 275877
 V892 Tau   
 HD 31293 
 HD 31648 
 HD 293782
 V1012 Ori  
 HD 34282 
 HD 287841
 HD 35929 
 HD 36112   
 HD 244604
 HD 245185
 HD 36910  
 HD 37258  
 HD 37357 
 V1787 Ori   
 HD 37411 
 V883 Ori       
 V599 Ori   
 V350 Ori   
 HD 37806     
 HD 52721 
 HD 53179 
 NX Pup     
 ESO 313-10 
 HD 76534 
 HD 85567 
 HD 94509 
 HD 95881 
 HD 97048 
 HD 98922 
 HD 100546
 HD 101412
 HD 104237
 Hen 3-847   
 CPD-61 3587B 
 HD 130437
 SS73 44    
 HD 132947
 HD 141569
 HD 142666
 HD 144432
 HD 144668
 Hen 3-1191  
 V921 Sco   
 MWC 300       
 HD 179218
 HD 344361
 Par 21     
 HD 190073
 Par 22     
 PV Cep     
 V1493 Cyg  
 HD 203024 
 V361 Cep   
 V373 Cep   
 AS 477      
 V375 Lac   
 HD 216629
 BHJ 71     
