MAIN_id,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,,,,,,,,,,,
 ab aur,04 55 45,+30 33 04,      A0Ve,7.1999998,0.5311898913850,7.1599998,0.451463379658,7.0500002,0.3409989356990,6.96,0.2555090616790,6.6999998,0.1632952649830,5.936,0.0960560382252,5.062,0.05993896785250,4.230,000,0.03669340660200,3.289,0.01799449782750,1.669,0.01112052761540,18.879999,3,0.542,0.00929534281905,26.030001,3,-1.723,0h0h ,0.006066169348410,,,,,,,,,,,,,,,,,,,,
 ak sco,16 54 44,-36 53 18,       F5Ve,9.8000002,1.0140935103800,9.6300001,0.861887793635,9,0.6510003547670,9.1999998,0.4877918151210,     null ,0.3117466487620,7.676,0.1833803816240,7.059,0.11442935813400,6.503,000,0.07005130578050,5.482,0.03435325815760,5.064,0.02123017600610,2.032000,3,3.013,0.01774571952980,2.870000,3,0.899,hh00 ,0.011580911212500,,,,,,,,,,,,,,,,,,,,
 LBN 026.48+02.56,18 33 21,-04 58 04,        B1e,     null ,5.7465282342600,13.42,4.884029421520,12.49,3.6890009460400,     null ,2.7641528215400,     null ,1.7665638333200,11.582,1.0391551960700,1.237,0.64843284234700,1.025,ccc ,0.39695728489800,7.099,0.19466840673000,6.332,0.12030429599300,      null|, null,0.223,0.10055904832400,      null|,null,  null ,HHHH ,0.065625144604200,,,,,,,,,,,,,,,,,,,,
 V2018 Cyg,20 46 45,+43 45 11,        B9e,     null ,3.4768940093000,12.27,2.955045541360,11.61,2.2320024833700,     null ,1.6724300297900,     null ,1.0688462596400,10.603,0.6287330939060,0.236,0.39232945059800,9.815,000,0.24017604187200,9.118,0.11778266625800,8.033,0.07278921619790,2.068000,3,2.25,0.06084250149730,7.517000,3,-0.255,000h ,0.039706003839600,,,,,,,,,,,,,,,,,,,,
 V1977 Cyg,20 47 37,+43 47 24,       B8Ve,11.9,3.6217644318400,11.56,3.078172301920,10.9,2.3250024833700,10.18,1.7421145368300,9.9499998,1.1133814709100,8.653,0.6549302770050,7.701,0.40867649285100,6.623,000,0.25018336581600,5.335,0.12269027189200,4.32,0.07582209683170,2.557000,3,2.974,0.06337760290580,2.298000,3,1.357,hhhH ,0.041360418825500,,,,,,,,,,,,,,,,,,,,
 HD 245185,05 35 09,+10 01 51,      A0Vae,10.05,0.6760590244350,10.07,0.574589044275,9.9300003,0.4339981079100,10,0.3251929484620,     null ,0.2078300798440,15.118,0.1222529881440,4.838,0.07628586460170,4.434,ccc ,0.04670064147090,6.893,0.02290205977890,6.129,0.01415338125360,2.392000,3,2.469,0.01183042166270,4.476000,3,0.513,0000,0.007720569608450,,,,,,,,,,,,,,,,,,,,
 bd +41 3731,20 24 15,+42 18 01,        B3n,9.5100002,1.1589643013400,9.8900003,0.985014867326,9.8400002,0.7440005912780,     null ,0.5574764993800,     null ,0.3562819732880,13.303,0.2095776313460,2.581,0.13077644196000,2.406,ccc ,0.08005865517410,9.509,0.03926087627210,9.426,0.02426306435300,      null|, null,8.042,0.02028082738530,      null|,null,5.36,HHdh ,0.013235330405800,,,,,,,,,,,,,,,,,,,,
 bd +65 1637,21 42 50,+66 06 35,   B3IV-Vne,10.21,2.8008298269200,10.56,2.380452113300,10.17,1.7980010643000,     null ,1.3472346002900,     null ,0.8610145941720,8.973,0.5064791730420,8.729,0.31604300397800,8.474,000,0.19347504410200,7.901,0.09488043174980,7.509,0.05863572696210,      null ,0,6.174,0.04901198957530,7.893000,3,0.339,hddd ,0.031985375327600,,,,,,,,,,,,,,,,,,,,
 bf ori,05 37 13,-06 35 00,      A7III,10.37,0.5794837164760,10,0.492508764455,9.6899996,0.3720013008120,10.1,0.2787390028620,9.3100004,0.1781414679940,9.113,0.1047890988200,8.565,0.06538839766380,7.897,000,0.04002943574930,6.880,0.01963049117900,6.101,0.01213156495680,      null|, null,3.591,0.01014044109280,      null|,null,2.196,0000,0.006617683084330,,,,,,,,,,,,,,,,,,,,
 bh cep,22 01 42,+69 44 36,     F5IIIe,12.18,0.5311902598100,11.54,0.451463692786,11.01,0.3409991722110,10.62,0.2555092388960,10.32,0.1632953782420,9.686,0.0960561048481,8.993,0.05993900942520,8.310,000,0.03669343205200,7.320,0.01799451030820,6.846,0.01112053532840,0.480700,3,4.684,0.00929534926615,0.766900,3,2.225,0000,0.006066173555810,,,,,,,,,,,,,,,,,,,,
 HD 245465,05 36 29,+06 50 02,        F4e,     null ,4.1046608665600,10.04,3.488590609910,8.8000002,2.6349992904700,     null ,1.9743938345500,     null ,1.2618306461400,8.604,0.7422533212580,8.371,0.46316607246500,8.231,000,0.28354076872100,8.180,0.13904878884900,8.185,0.08593159481870,      null|, null,8.129,0.07182785389810,      null|,null,8.131,0000,0.046875078645400,,,,,,,,,,,,,,,,,,,,
 bo cep,22 16 54,+70 03 45,       F5Ve,11.86,0.0482870092365,11.98,0.041039591937,11.55,0.0309979896545,11.16,0.0232266626707,10.84,0.0148441077219,10.319,0.0087318280717,9.849,0.00544866071674,9.581,000,0.00333555832339,8.853,0.00163576245876,8.501,0.00101089465065,0.084110,3,7.006,0.00084497900250,0.117800,3,3.855,hh0d ,0.000551435899115,,,,,,,,,,,,,,,,,,,,
 cq tau,05 35 58,+24 44 54,      F5IVe,11.29,1.7384437809400,10.78,1.477520030810,10,1.1159991722100,10.6,0.8362134642480,8.3299999,0.5344221388050,7.926,0.3143659640030,7.060,0.19616436153800,6.173,000,0.12008779824900,5.328,0.05889122392310,4.428,0.03639454061010,4.855000,3,1.775,0.03042119433660,12.880000,3,-0.795,0000,0.019852965105100,,,,,,,,,,,,,,,,,,,,
cq uma,13 40 21,+57 12 27,  A2IVpSrCr,     null ,0.1979910695840,6.3870001,0.168274507603,6.2859998,0.1271009578700,     null ,0.0952362106861,     null ,0.0608652474309,6.152,0.0358030867241,6.211,0.02234112611580,6.197,000,0.01367677912860,6.203,0.00670711157963,6.12,0.00414496810391,0.193300,3,6.246,0.00346466470229,      null ,0,6.056,0000,0.002261050854030,,,,,,,,,,,,,,,,,,,,
 eu ser,18 19 09,-13 50 41,         Be,     null ,99.9900000000000,12.97,99.990000000000,     null ,99.9900000000000,     null ,99.9900000000000,     null ,99.9900000000000,  null| ,99.9900000000000, null| ,99.99000000000000, null| ,null|,99.99000000000000,16.365,99.99000000000000,16.769,99.99000000000000,      null|, null,12.207,99.99000000000000,      null|,null,8.386,0000,99.990000000000000,,,,,,,,,,,,,,,,,,,,
 hd 53367,07 04 25,-10 27 15,    B0IV/Ve,6.8099999,3.5734706988500,7.4000001,3.037126995410,6.96,2.2940001773800,     null ,1.7188846399500,     null ,1.0985352962100,11.770,0.6461972330660,0.690,0.40322707343300,9.543,c00 ,0.24684734303100,8.039,0.12105428166100,7.097,0.07481106141860,2.656000,3,4.535,0.06253250624380,      null ,0,4.944,dddd ,0.040808906141500,,,,,,,,,,,,,,,,,,,,
 hd 150193,16 40 17,-23 53 45,     B9.5Ve,9.6899996,2.5593761753000,9.3199997,2.175238340670,8.79,1.6429991722100,8.4099998,1.2310923374900,     null ,0.7867883359880,6.332,0.4628166682280,6.220,0.28879760097400,6.117,000,0.17679596726300,5.104,0.08670098918130,4.647,0.05358086420160,1.065000,3,4.167,0.04478676898450,      null ,0,1.019,hhhd ,0.029227983358600,,,,,,,,,,,,,,,,,,,,
 hd 163296,17 56 21,-21 57 21,      A1Vep,7,0.2414503358010,6.9299998,0.205210954478,6.8499999,0.1549997634890,6.8600001,0.1161406678540,6.6700001,0.0742252388538,6.947,0.0436619052081,6.214,0.02724502884990,5.476,000,0.01667884778950,4.441,0.00817933024230,3.552,0.00505479334332,13.000000,3,1.03,0.00422516256699,      null ,0,-0.567,HHHH ,0.002757354102460,,,,,,,,,,,,,,,,,,,,
hd 200775,21 01 36,+68 09 47,       B2Ve,7.3400002,2.8491177572200,7.73,2.421492488060,7.3600001,1.8289996452300,     null ,1.3704617060100,     null ,0.8758589850410,6.195,0.5152111676710,5.531,0.32149176862700,4.779,000,0.19681066605000,3.737,0.09651622541030,2.918,0.05964664089530,15.020001,3,0.638,0.04985698469560,      null ,0,-0.764,hhhh ,0.032536821745200,,,,,,,,,,,,,,,,,,,,
 hd 250550,06 01 59,+16 30 56,        B9e,     null ,0.3235437962920,9.6000004,0.274982973341,9.5930004,0.2076999053960,9.6400003,0.1556286615080,     null ,0.0994619265274,6.111,0.0585070156044,5.465,0.03650837773710,4.651,000,0.02234967996090,3.350,0.01096031425650,1.235,0.00677343033029,11.310000,3,1.03,0.00566172390003,      null ,0,-2.016,HHHH ,0.003694858452250,,,,,,,,,,,,,,,,,,,,
 hd 259431,06 33 05,+10 19 19,       B6ep,8.3900003,1.7384428598800,8.9499998,1.477519248000,8.7200003,1.1159985809300,8.8999996,0.8362130212060,     null ,0.5344218556580,8.475,0.3143657974460,7.528,0.19616425760600,6.635,000,0.12008773462400,5.649,0.05889119272140,4.809,0.03639452132750,2.973000,3,2.374,0.03042117821880,6.514000,3,0.051,0000,0.019852954586600,,,,,,,,,,,,,,,,,,,,
 hk ori,05 31 28,+12 09 10,  A2?e+G0?e,11.82,4.3461128602700,12.06,3.693802973470,11.1,2.7900001182600,11.02,2.0905352998800,10.56,1.3360563946600,7.454,0.7859155262690,6.666,0.49041128839200,5.726,000,0.30021973103500,4.456,0.14722817525400,3.13,0.09098642287060,11.490000,3,1.444,0.07605304547710,11.800000,3,-0.499,hdhh ,0.049632451681200,,,,,,,,,,,,,,,,,,,,
 AS 220,17 10 08,-27 15 18,       A8Ve,12.86,2.4145094370100,11.72,2.052114711390,10.99,1.5500015373200,11.56,1.1614096026100,10.82,0.7422542573100,9.408,0.4366201513590,8.311,0.27245097444800,7.341,000,0.16678889781900,6.163,0.08179350835440,5.033,0.05054806069800,2.708000,3,2.529,0.04225173204700,2.882000,3,0.897,HHHH ,0.027573610446700,,,,,,,,,,,,,,,,,,,,
 lkh 112,18 04 22,-24 22 09,       B2Ve,9.4099998,1.8688275664900,10.183,1.588334459760,10.016,1.1996994323700,     null ,0.8989297155250,9.6239996,0.5745039535310,13.824,0.3379435020770,1.654,0.21087674529600,0.751,c00 ,0.12909441779300,4.441,0.06330808272230,3.504,0.03912414166480,9.100000,3,1.379,0.03270279269600,8.276000,3,-0.01,0h0h ,0.021341943220600,,,,,,,,,,,,,,,,,,,,
