0 wl(mu)  A_wl/A_J (R=3.1/5) Mathis ARAA 28,37,1990
250.   0.0015    0.0015  
100.   0.0041  0.0041
60.    0.0071   0.0071
35.    0.013  0.013
25.    0.048  0.048
20.    0.075  0.075
18.    0.083   0.083
15.    0.053  0.053
12.    0.098   0.098
10.    0.192  0.192
9.7    0.208  0.208
9.0    0.157  0.157
7.     0.070  0.070
5.     0.095  0.095
3.4    0.182  0.182
2.2    0.382  0.382
1.65   0.624  0.624
1.25   1.00  1.00
0.9    1.7
0.7    2.66
0.55   3.55
0.44   4.70
0.365  5.53
0.33   5.87
0.28   6.90
0.26   7.63
0.24   9.03
0.218  11.29
0.20   10.08
0.18    8.93
0.15    9.44
0.13   11.09
0.12   12.71
0.091  17.2
0.073  19.1
0.041   9.15
0.023   7.31
0.004   3.39
0.002   1.35
